FECHA;positivos;nue_posi;conf_lab;conf_nexo;muj_posi;hom_posi;extranj_posi;costar_posi;investig_posi;adul_posi;am_posi;menor_posi;eda_ignor_posi;edmin_posi;edmax_posi;promedio_posi;descartados;nue_descar;fallecidos;nue_falleci;muj_fall;hom_fall;emin_fall;emax_fall;promedio_fall;adul_fall;am_fall;menor_fall;hospital;nue_hospi;salon;nue_salon;UCI;nue_UCI;emin_UCI;emax_UCI;promedio_UCI;RECUPERADOS;NUE_RECUP;MUJ_RECUP;HOM_RECUP;ADUL_RECUP;AM_RECUP;MENOR_RECUP;EDA_IGNO_RECUP;PROMEDIO_RECUP;EDMIN_RECUP;EDMAX_RECUP;Muestras;MUEST_NEW;DIA_COVID19;afec_posi;afec_recu;afec_fall;activos;nue_acti;muj_acti;hom_acti;adul_acti;am_acti;menor_acti;eda_igno_acti;edmin_acti;edmax_acti;promedio_acti;letalidad;por_recup;por_activ;transpor;HSJD_UCI;HSJD_SALON;CEACO_UCI;CEACO_SALON;HCG_UCI;HCG_SALON;HMEX_UCI;HMEX_SALON;HNN_UCI;HNN_SALON;HEB_UCI;HEB_SALON;HTF_UCI;HTF_SALON;HLA_UCI;HLA_SALON;HNPSI_UCI;HNPSI_SALON;HSRA_UCI;HSRA_SALON;HDGR_UCI;HDGR_SALON;HDSC_UCI;HDSC_SALON;HUP_UCI;HUP_SALON;HMT_UCI;HMT_SALON;HNEI_UCI;HNEI_SALON;HCHI_UCI ;HCHI_SALON;HMUJ_UCI;HMUJ_SALON;HTUR_UCI;HTUR_SALON;HGOL_UCI;HGOL_SALON;HFEP_UCI;HFEP_SALON;HOSA_UCI;HOSA_SALON;HCAR_UCI;HCAR_SALON;INS_UCI;INS_SALON;HGUA_UCI;HGUA_SALON;HCIMA_UCI;HCIMA_SALON;HBIB_UCI;HBIB_SALON;HRAM_UCI;HRAM_SALON;HMSAN_UCI;HMSAN_SALON;HNGG_UCI;HNGG_SALON;HSVP_UCI;HSVP_SALON;HCAT_UCI;HCAT_SALON;CEACOINS_UCI;CEACOINS_SALON;PAUT_UCI;PAUT_SALON;HVITO_UCI;HVITO_SALON
06/03/2020;2;2;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;0;;;;2;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/2020;7;5;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;1;;;;7;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/2020;10;3;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;2;;;;10;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2020;12;2;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;3;;;;12;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2020;13;1;;;7;6;3;10;0;9;2;2;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;4;;;;13;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2020;22;9;;;14;8;3;19;0;18;2;2;;;;;118;;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;5;;;;22;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/03/2020;23;1;;;14;9;3;20;0;19;2;2;;;;;206;88;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;6;;;;23;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/2020;26;3;;;14;12;3;23;0;21;3;2;;;;;289;83;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;7;;;;26;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/2020;27;1;;;15;12;4;23;0;22;3;2;;;;;415;126;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;8;;;;27;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/2020;35;8;;;19;16;5;30;0;28;3;4;;;;;450;35;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;9;16;;;35;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2020;41;6;;;20;21;6;35;0;32;5;4;;;;;615;165;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;10;17;;;41;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2020;50;9;;;24;26;6;44;0;40;6;4;;;;;720;105;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;11;19;;;50;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2020;69;19;;;30;39;6;63;0;57;7;5;;;;;855;135;0;0;0;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;12;24;;;69;;;;;;;;;;;0,00;0,00;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/03/2020;87;18;;;35;52;8;79;0;73;7;7;;;;;951;96;1;1;0;1;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;13;23;;;86;;;;;;;;;;;1,15;0,00;98,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/03/2020;113;26;;;46;67;9;104;0;97;9;7;;;;;1046;95;2;1;0;2;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;14;26;;;111;;;;;;;;;;;1,77;0,00;98,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2020;117;4;;;48;69;10;107;0;100;10;7;;;;;1190;144;2;0;0;2;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;15;26;;;113;;;;;;;;;;;1,71;1,71;96,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2020;134;17;;;55;79;17;117;0;113;14;7;;;;;1400;210;2;0;0;2;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;16;28;;;130;;;;;;;;;;;1,49;1,49;97,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2020;158;24;;;68;90;17;141;0;135;16;7;;;;;1533;133;2;0;0;2;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;17;30;;;154;;;;;;;;;;;1,27;1,27;97,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2020;177;19;;;74;103;18;159;0;154;16;7;;;;;1679;146;2;0;0;2;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;18;33;;;173;;;;;;;;;;;1,13;1,13;97,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2020;201;24;;;84;117;18;183;0;177;17;7;;;;;1684;5;2;0;0;2;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;19;39;;;197;;;;;;;;;;;1,00;1,00;98,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
